Program Identifier,Data Source,Card Number,Member ID,First Name,"LastName",Date of Birth,Address 1,Address 2,City,State,Zip code,Telephone number,Email Address,CONSENT,Mobile Phone
50777445,WEB 3RD PARTY,342121211,43233,LOAD,TEST 0,4/29/00,"3100 SAshley Drive",,Chandler,AZ,85286,,test0@humancaresystems.com,Y,1234567912
50777445,WEB 3RD PARTY,564232340,12045,LOAD,TEST 1,3/20/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test1@humancaresystems.com,Y,1234567890
50777445,WEB 3RD PARTY,564232341,12145,LOAD,TEST 2,3/1/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test2@humancaresystems.com,Y,6177504302
50777445,WEB 3RD PARTY,564232342,12245,LOAD,TEST 3,3/2/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test3@humancaresystems.com,Y,6177504303
50777445,WEB 3RD PARTY,564232343,12445,LOAD,TEST 4,3/3/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test4@humancaresystems.com,N,6177504384
50777445,WEB 3RD PARTY,564232344,13245,LOAD,TEST 5,3/4/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test5@humancaresystems.com,N,6177504305
50777445,WEB 3RD PARTY,564232345,14545,LOAD,TEST 6,3/5/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test6@humancaresystems.com,N,6177504306
50777445,WEB 3RD PARTY,564232346,15245,,TEST 7,3/6/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test7@humancaresystems.com,Y,6177504307
50777445,WEB 3RD PARTY,564232347,15545,LOAD,TEST 8,3/7/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test8@humancaresystems.com,N,6177504308
50777445,WEB 3RD PARTY,564232348,16445,LOAD,TEST 9,3/8/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test9@humancaresystems.com,N,6177504309
50777445,WEB 3RD PARTY,564232349,16345,,TEST 10,3/9/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test10@humancaresystems.com,N,6177504310
50777445,WEB 3RD PARTY,564232350,16245,LOAD,TEST 11,3/10/69,"3110 S
Ashley Drive",,Chandler,AZ,85286,,,Y,6177504311
50777445,WEB 3RD PARTY,564232365,17445,LOAD,TEST 12,3/11/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test12@humancaresystems.com,N,6177504312
50777445,WEB 3RD PARTY,564232363,17345,LOAD,TEST 13,3/12/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test13@humancaresystems.com,Y,6177504313
50777445,WEB 3RD PARTY,564232360,19845,LOAD,TEST 14,3/13/69,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test14@humancaresystems.com,N,6177504314
50777445,WEB 3RD PARTY,564232423,4542323,LOAD,TEST 15,4/29/00,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test15@humancaresystems.com,N,132342323
50777445,WEB 3RD PARTY,56221312,32323,LOAD,TEST 16,4/20/01,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test16@humancaresystems.com,Y,1234567890
50777445,WEB 3RD PARTY,53434323,12345,LOAD,TEST 17,4/29/87,"3100 S
Ashley Drive",,Chandler,AZ,85286,,test17@humancaresystems.com,N,1234567890
